index,category,command_kor,command_eng,connected_devices,gt
13,1,미세먼지 농도를 스피커로 알려줘.,Announce the fine dust level through the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#AirQualitySensor).airqualitysensor_dustlevel\n\n(#Speaker).speaker_speak(\""미세먼지 농도는 \"" + dust + \""입니다\"")""}"
14,1,외부 미세먼지 농도를 스피커로 알려줘.,Announce the outdoor fine dust level using the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#WeatherProvider).weatherprovider_pm10weather\n\n(#Speaker).speaker_speak(\""외부 미세먼지 농도는 \"" + dust + \""입니다\"")""}"
15,1,"클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.","Generate a cat image using cloud service and save it as ""cat.png"".",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nimg = (#CloudServiceProvider).cloudserviceprovider_generateimage(\""Generate a cat image\"")\n\n(#CloudServiceProvider).cloudserviceprovider_savetofile(img, \""cat.png\"")""}"
16,1,충전기의 전력소모량을 스피커로 출력해줘.,Output the charger's power consumption through the speaker.,,"{""name"": """",
""cron"": """", 
""period"": 0, 
""script"": ""\npower = (#Charger).charger_power\n\n(#Speaker).speaker_speak(\""전력소모량은 \"" + power + \""입니다\"")""}"
17,1,오늘의 메뉴를 스피커로 출력해줘.,Tell me today's menu using the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).menuprovider_todaymenu\n\n(#Speaker).speaker_speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}"
18,1,오늘의 301동 점심 메뉴를 스피커로 알려줘.,Tell me the lunch menu for Building 301 today through the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).menuprovider_getmenu(\""오늘 301동식당 점심\"")\n\n(#Speaker).speaker_speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}"
19,1,클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,"Ask the cloud AI what an LLM is, and output its answer through the speaker.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nanswer = (#CloudServiceProvider).cloudserviceprovider_chatwithai(\""What is LLM?\"")\n\n(#Speaker).speaker_speak(answer)""}"
20,1,"조명의 색조를 200, 채도는 50으로 설정해줘.",Set the hue of the light to 200 and the saturation to 50.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).light_movetohueandsaturation(200, 50)""}"
21,1,조명 색을 노란색으로 바꿔줘., Change the light color to yellow.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).light_movetorgb(255, 255, 0)""}"
22,1,금고를 잠그어줘.,Lock the safe.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Safe).safe_lock()""}"
23,1,문을 닫아줘.,Close the door.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Door).door_close()""}"
24,1,펌프를 일반 모드로 설정해줘.,Set the pump to normal mode.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Pump).pump_setpumpmode(\""normal\"")""}"
25,1,로봇 청소기를 멈춰줘.,Stop the robot vacuum cleaner.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(\""stop\"")""}"
26,1,"스피커로 ""music.mp3"" 재생해줘.","Play ""music.mp3"" through the speaker.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Speaker).speaker_play(\""music.mp3\"")""}"
27,1,스피커 볼륨을 최대로 해줘.,Set the speaker volume to maximum.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Speaker).speaker_setvolume(100)""}"
28,1,스피커 볼륨을 하나 낮춰줘.,Lower the speaker volume by one.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Speaker).speaker_volumedown()""}"
29,1,벨브를 열어줘.,Open the valve.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Valve).valve_open()""}"
30,1,TV 30번 채널 틀어줘.,Set the TV channel to 30.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Television).television_setchannel(30)""}"
1,2,거실 조명을 노란색으로 설정해줘.,Set the living room light to yellow.,"{'LivingRoom_Light': {'category': ['Light', 'ColorControl'], 'tags': ['LivingRoom', 'Light', 'ColorControl']}, 'Kitchen_Light': {'category': ['Light', 'ColorControl'], 'tags': ['Kitchen', 'Light', 'ColorControl']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).colorcontrol_setcolor(\""255,255,0\"")""}"
2,2,카메라로 회의실 사진을 촬영해줘.,Capture an image of the meeting room with the camera.,"{'MeetingRoom_Camera': {'category': 'Camera', 'tags': ['MeetingRoom', 'Camera']}, 'Hallway_Camera': {'category': 'Camera', 'tags': ['Hallway', 'Camera']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#MeetingRoom #Camera).camera_captureimage()""}"
3,2,거실 조명의 밝기를 80%로 설정해줘.,Set the brightness of the living room light to 80%.,"{'LivingRoom_Light': {'category': 'Light', 'tags': ['LivingRoom', 'Light']}, 'Bedroom_Light': {'category': 'Light', 'tags': ['Bedroom', 'Light']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).light_movetobrightness(80, 0)""}"
4,2,연구실 제습기를 모두 AI건조모드로 설정해줘.,Set all dehumidifiers in the lab to AI drying mode.,"{'Lab_Dehumidifier_1': {'category': 'Dehumidifier', 'tags': ['Lab', 'North', 'Dehumidifier']}, 'Lab_Dehumidifier_2': {'category': 'Dehumidifier', 'tags': ['Lab', 'South', 'Dehumidifier']}, 'Office_Dehumidifier': {'category': 'Dehumidifier', 'tags': ['Office', 'Dehumidifier']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(\""AIDrying\"")""}"
5,2,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",Set the hue of the living room light to 240 and the saturation to 80.,"{'LivingRoom_Light': {'category': 'Light', 'tags': ['LivingRoom', 'Light']}, 'Kitchen_Light': {'category': 'Light', 'tags': ['Kitchen', 'Light']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).light_movetohueandsaturation(240, 80)""}"
6,2,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,Set all robot vacuum cleaners with even tags to auto mode.,"{'Robot_Even_1': {'category': 'RobotVacuumCleaner', 'tags': ['Even', 'RobotVacuumCleaner']}, 'Robot_Odd_1': {'category': 'RobotVacuumCleaner', 'tags': ['Odd', 'RobotVacuumCleaner']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Even #RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(\""auto\"")""}"
7,2,모든 도어락을 잠궈줘.,Lock all door locks.,"{'FrontDoor_Lock': {'category': 'DoorLock', 'tags': ['Front', 'DoorLock']}, 'BackDoor_Lock': {'category': 'DoorLock', 'tags': ['Back', 'DoorLock']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#DoorLock).doorlock_lock()""}"
8,2,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,Set the target temperature of the air conditioner in Sector1 to 18 degrees.,"{'Sector1_AC': {'category': 'AirConditioner', 'tags': ['Sector1', 'AirConditioner']}, 'Sector2_AC': {'category': 'AirConditioner', 'tags': ['Sector2', 'AirConditioner']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Sector1 #AirConditioner).airconditioner_settargettemperature(18)""}"
9,2,안방의 공기청정기를 수면모드로 바꿔줘.,Change the air purifier in the bedroom to sleep mode.,"{'Bedroom_AP': {'category': 'AirPurifier', 'tags': ['Bedroom', 'AirPurifier']}, 'LivingRoom_AP': {'category': 'AirPurifier', 'tags': ['LivingRoom', 'AirPurifier']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Bedroom #AirPurifier).airpurifier_setairpurifiermode(\""sleep\"")""}"
10,2,주방의 모든 벨브를 닫아줘.,Close all valves in the kitchen.,"{'Kitchen_Valve_Gas': {'category': 'Valve', 'tags': ['Kitchen', 'Gas', 'Valve']}, 'Kitchen_Valve_Water': {'category': 'Valve', 'tags': ['Kitchen', 'Water', 'Valve']}, 'Bathroom_Valve': {'category': 'Valve', 'tags': ['Bathroom', 'Valve']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Kitchen #Valve).valve_close()""}"
11,2,모든 금고를 열어줘.,Open all safes.,"{'Office_Safe': {'category': 'Safe', 'tags': ['Office', 'Safe']}, 'Bedroom_Safe': {'category': 'Safe', 'tags': ['Bedroom', 'Safe']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Safe).safe_unlock()""}"
12,2,회의실 녹음기로 10초 동안 녹음해서 test.wav로 저장해줘.,Record for 10 seconds with the meeting room recorder and save it as test.wav.,"{'MeetingRoom_Recorder': {'category': 'AudioRecorder', 'tags': ['MeetingRoom', 'AudioRecorder']}, 'Lab_Recorder': {'category': 'AudioRecorder', 'tags': ['Lab', 'AudioRecorder']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#MeetingRoom #AudioRecorder).audiorecorder_recordwithduration(\""test.wav\"", 10)""}"
13,2,사이렌으로 농장에 화재경보를 울려줘.,Sound a fire siren on the farm.,"{'Farm_Siren': {'category': 'Siren', 'tags': ['Farm', 'Siren']}, 'House_Siren': {'category': 'Siren', 'tags': ['House', 'Siren']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Farm #Siren).siren_setsirenmode(\""fire\"")""}"
14,2,"놀이방의 스피커로 ""Golden.mp3"" 파일을 재생해줘. ","Play the ""Golden.mp3"" file through the speaker in the playroom.","{'Playroom_Speaker': {'category': 'Speaker', 'tags': ['Playroom', 'Speaker']}, 'LivingRoom_Speaker': {'category': 'Speaker', 'tags': ['LivingRoom', 'Speaker']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Playroom #Speaker).speaker_play(\""Golden.mp3\"")""}"
15,2,안방 조명을 모두 꺼줘.,Turn off all lights in the bedroom.,"{'Bedroom_Light': {'category': ['Light', 'Switch'], 'tags': ['Bedroom', 'Light', 'Switch']}, 'Kitchen_Light': {'category': ['Light', 'Switch'], 'tags': ['Kitchen', 'Light', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Bedroom #Light).switch_off()""}"
16,2,거실에 있는 창문을 모두 닫아줘.,Close all windows in the living room.,"{'LR_Window_1': {'category': ['WindowCovering'], 'tags': ['LivingRoom', 'Window', 'WindowCovering']}, 'LR_Window_2': {'category': ['WindowCovering'], 'tags': ['LivingRoom', 'Window', 'WindowCovering']}, 'Bedroom_Window': {'category': ['WindowCovering'], 'tags': ['Bedroom', 'Window', 'WindowCovering']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#LivingRoom #Window).windowcovering_downorclose()""}"
17,2,섹터2에 있는 블라인드를 모두 열어줘.,Open all blinds in Sector2.,"{'S2_Blind_1': {'category': ['WindowCovering'], 'tags': ['Sector2', 'Blind', 'WindowCovering']}, 'S2_Blind_2': {'category': ['WindowCovering'], 'tags': ['Sector2', 'Blind', 'WindowCovering']}, 'S1_Blind': {'category': ['WindowCovering'], 'tags': ['Sector1', 'Blind', 'WindowCovering']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Sector2 #Blind).windowcovering_uporopen()""}"
18,2,거실 벽에 있는 조명을 빨간색으로 바꿔줘.,Change the light on the living room wall to red.,"{'LR_Wall_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['LivingRoom', 'Wall', 'Light', 'ColorControl', 'Switch']}, 'LR_Ceiling_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['LivingRoom', 'Ceiling', 'Light', 'ColorControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#LivingRoom #Wall #Light).light_movetorgb(255, 0, 0)""}"
19,2,섹터 비에 있는 홀수 태그가 붙은 금고를 모두 잠궈줘.,Lock all safes with odd tags in Sector B.,"{'SB_Safe_1': {'category': ['Safe'], 'tags': ['SectorB', 'Odd', 'Safe']}, 'SB_Safe_2': {'category': ['Safe'], 'tags': ['SectorB', 'Even', 'Safe']}, 'SA_Safe_3': {'category': ['Safe'], 'tags': ['SectorA', 'Odd', 'Safe']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#SectorB #Odd #Safe).safe_lock()""}"
20,2,회의실에 있는 조명 밝기를 100까지 높여줘.,Increases the light brightness to 100 in the meeting room.,"{'MR_Light': {'category': ['Light', 'LevelControl', 'Switch'], 'tags': ['MeetingRoom', 'Light', 'LevelControl', 'Switch']}, 'Hall_Light': {'category': ['Light', 'LevelControl', 'Switch'], 'tags': ['Hallway', 'Light', 'LevelControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#MeetingRoom #Light).light_movetobrightness(100, 0)""}"
21,2,섹터2 모두 닫아줘.,Close everything in Sector2.,"{'S2_Window': {'category': ['WindowCovering'], 'tags': ['Sector2', 'Window', 'WindowCovering']}, 'S2_Blind': {'category': ['WindowCovering'], 'tags': ['Sector2', 'Blind', 'WindowCovering']}, 'S1_Window': {'category': ['WindowCovering'], 'tags': ['Sector1', 'Window', 'WindowCovering']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Sector2).windowcovering_downorclose()""}"
22,2,복도 벽에 있는 모든 조명을 파란색으로 바꿔줘.,Change all lights on the hallway wall to blue.,"{'Hall_Wall_Light_1': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Hallway', 'Wall', 'Light', 'ColorControl', 'Switch']}, 'Hall_Wall_Light_2': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Hallway', 'Wall', 'Light', 'ColorControl', 'Switch']}, 'LivingRoom_Wall_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['LivingRoom', 'Wall', 'Light', 'ColorControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Hallway #Wall #Light).light_movetorgb(0, 0, 255)""}"
23,2,그룹1에서 상단부에 있는 조명들을 모두 파란색으로 변경해줘.,"In Group 1, change all upper-level lights to blue.","{'G1_Top_Light_1': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Group1', 'Top', 'Light', 'ColorControl', 'Switch']}, 'G1_Top_Light_2': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Group1', 'Top', 'Light', 'ColorControl', 'Switch']}, 'G1_Bottom_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Group1', 'Bottom', 'Light', 'ColorControl', 'Switch']}, 'G2_Top_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Group2', 'Top', 'Light', 'ColorControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Group1 #Top #Light).light_movetorgb(0, 0, 255)""}"
24,2,섹터10의 모든 조명을 흰색으로 바꿔줘.,Change all lights in Sector 10 to white.,"{'S10_Light_1': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Sector10', 'Light', 'ColorControl', 'Switch']}, 'S10_Light_2': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Sector10', 'Light', 'ColorControl', 'Switch']}, 'S11_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['Sector11', 'Light', 'ColorControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Sector10 #Light).colorcontrol_setcolor(\""255,255,255\"")""}"
25,2,안방에 있는 짝수 태그 블라인드를 모두 내려줘.,Lower all even-tagged blinds in the bedroom.,"{'BR_Blind_2': {'category': ['WindowCovering'], 'tags': ['Bedroom', 'Even', 'Blind', 'WindowCovering']}, 'BR_Blind_4': {'category': ['WindowCovering'], 'tags': ['Bedroom', 'Even', 'Blind', 'WindowCovering']}, 'BR_Blind_1': {'category': ['WindowCovering'], 'tags': ['Bedroom', 'Odd', 'Blind', 'WindowCovering']}, 'LR_Blind_2': {'category': ['WindowCovering'], 'tags': ['LivingRoom', 'Even', 'Blind', 'WindowCovering']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Bedroom #Even #Blind).windowcovering_downorclose()""}"
26,2,3층에 있는 모든 로봇 청소기를 멈춰줘.,Stop all robot vacuum cleaners on the 3rd floor.,"{'F3_RVC_1': {'category': ['RobotVacuumCleaner'], 'tags': ['Floor3', 'RobotVacuumCleaner']}, 'F3_RVC_2': {'category': ['RobotVacuumCleaner'], 'tags': ['Floor3', 'RobotVacuumCleaner']}, 'F2_RVC': {'category': ['RobotVacuumCleaner'], 'tags': ['Floor2', 'RobotVacuumCleaner']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Floor3 #RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(\""stop\"")""}"
27,2,거실 벽에 있는 모든 홀수 태그 조명을 켜줘.,Turn on all odd-tagged lights on the living room wall.,"{'LR_Wall_Light_1': {'category': ['Light', 'Switch'], 'tags': ['LivingRoom', 'Wall', 'Odd', 'Light', 'Switch']}, 'LR_Wall_Light_2': {'category': ['Light', 'Switch'], 'tags': ['LivingRoom', 'Wall', 'Even', 'Light', 'Switch']}, 'Kitchen_Wall_Light_1': {'category': ['Light', 'Switch'], 'tags': ['Kitchen', 'Wall', 'Odd', 'Light', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#LivingRoom #Wall #Odd #Light).switch_on()""}"
28,2,사무실의 모든 제습기를 제습 모드로 설정해줘.,Set all dehumidifiers in the office to dehumidify mode.,"{'Office_Dehumidifier_1': {'category': ['Dehumidifier'], 'tags': ['Office', 'Dehumidifier']}, 'Office_Dehumidifier_2': {'category': ['Dehumidifier'], 'tags': ['Office', 'Dehumidifier']}, 'Home_Dehumidifier': {'category': ['Dehumidifier'], 'tags': ['Home', 'Dehumidifier']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Office #Dehumidifier).dehumidifier_setdehumidifiermode(\""dehumidifying\"")""}"
29,2,창고의 모든 도어락을 잠궈줘.,Lock all door locks in the storage.,"{'Stor_Lock_1': {'category': ['DoorLock'], 'tags': ['Storage', 'DoorLock']}, 'Stor_Lock_2': {'category': ['DoorLock'], 'tags': ['Storage', 'DoorLock']}, 'Entrance_Lock': {'category': ['DoorLock'], 'tags': ['Entrance', 'DoorLock']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Storage #DoorLock).doorlock_lock()""}"
30,2,주방의 모든 짝수 태그 밸브를 열어줘.,Open all even-tagged valves in the kitchen.,"{'Kitch_Valve_2': {'category': ['Valve'], 'tags': ['Kitchen', 'Even', 'Valve']}, 'Kitch_Valve_4': {'category': ['Valve'], 'tags': ['Kitchen', 'Even', 'Valve']}, 'Kitch_Valve_1': {'category': ['Valve'], 'tags': ['Kitchen', 'Odd', 'Valve']}, 'Bath_Valve_2': {'category': ['Valve'], 'tags': ['Bathroom', 'Even', 'Valve']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nall(#Kitchen #Even #Valve).valve_open()""}"
1,3,녹음기가 녹음중이면 녹음을 중지하고 test.mp3로 저장해줘. 녹음중이 아니면 녹음을 시작해줘.,"If the audio recorder is recording, stop recording and save as test.mp3; otherwise, start recording.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#AudioRecorder).recorderstatus == \""recording\"") {\n\n    (#AudioRecorder).audiorecorder_recordstop(\""test.mp3\"")\n\n} else {\n\n    (#AudioRecorder).audiorecorder_recordstart()\n\n}""}"
2,3,"충전 전압이 220볼트 이상이면, 충전을 멈춰줘.",Stop charging if the voltage is 220V or higher.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Charger).charger_voltage >= 220000) {\n\n    (#Charger).switch_off()\n\n}""}"
3,3,"클라우드 서비스가 활성화되어있으면, test.png 파일을 클라우드에 업로드해줘.","If the cloud service is activated, upload test.png file to the cloud.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#CloudServiceProvider).cloudserviceprovider_isavailable == true) {\n\n    (#CloudServiceProvider).cloudserviceprovider_uploadfile(\""test.png\"")\n\n}""}"
4,3,"오븐이 그릴 모드이면, 시간을 4분 더 추가해줘","If the oven is in grill mode, add 4 more minutes.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Oven).oven_ovenmode == \""grill\"") {\n\n    (#Oven).oven_addmoretime(240)\n\n}""}"
5,3,"밥솥이 보온 모드이면, 조리 모드로 변경해줘.","If the rice cooker is on keep-warm mode, switch it to cooking mode.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#RiceCooker).ricecooker_ricecookermode == \""keepWarm\"") {\n\n    (#RiceCooker).ricecooker_setricecookermode(\""cooking\"")\n\n}""}"
6,3,"오늘이 공휴일이면 ""test@example.com""으로 ""오늘은 공휴일입니다.""라는 내용을 ""공휴일"" 제목으로 이메일을 보내줘.","If today is holiday, send an email to ""test@example.com"" with the subject ""Holiday"" and the message ""Today is holiday."".",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Clock).clock_isholiday == true) {\n\n    (#EmailProvider).emailprovider_sendmail(\""test@example.com\"", \""Holiday\"", \""Today is holiday.\"")\n\n}""}"
7,3,"바깥의 초미세먼지 농도가 15 이상이면, 긴급 사이렌을 울려줘.","If the outdoor very fine dust level is 15 or higher, sound the emergency siren.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#WeatherProvider).weatherprovider_pm25weather >= 15) {\n\n    (#Siren).siren_setsirenmode(\""emergency\"")\n\n}""}"
8,3,"충전기의 전류가 10암페어 이상이면, 긴급 사이렌을 울려줘.","If the charger current is 10 amperes or above, sound the emergency siren.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Charger).charger_current >= 10) {\n\n    (#Siren).siren_setsirenmode(\""emergency\"")\n\n}""}"
9,3,펌프가 노말 모드이면 맥시멈 모드로 설정해줘.,"If the pump is in normal mode, set it to maximum mode.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Pump).pump_pumpmode == \""normal\"") {\n\n    (#Pump).pump_setpumpmode(\""maximum\"")\n\n}""}"
10,3,"스피커가 재생중이면, 멈춰줘.","If the speaker is playing, stop it.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Speaker).speaker_playbackstate == \""playing\"") {\n\n    (#Speaker).speaker_stop()\n\n}""}"
11,3,"건조기가 저소음 모드이면, 퀵 모드로 바꿔줘.","If the laundry dryer is in low noise mode, switch it to quick mode.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#LaundryDryer).laundrydryer_laundrydryermode == \""lownoise\"") {\n\n    (#LaundryDryer).laundrydryer_setlaundrydryermode(\""quick\"")\n\n}""}"
12,3,"건조기 회전 강도가 3보다 크면 하나 줄이고, 아니면 하나 높여줘.","If the laundry dryer spin speed is greater than 3, decrease it by one; otherwise, increase it by one.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#LaundryDryer).laundrydryer_spinspeed > 3) {\n\n    (#LaundryDryer).laundrydryer_setspinspeed((#LaundryDryer).laundrydryer_spinspeed - 1)\n\n} else {\n\n    (#LaundryDryer).laundrydryer_setspinspeed((#LaundryDryer).laundrydryer_spinspeed + 1)\n\n}""}"
13,3,"충전기가 완충되어있으면, 충전기를 꺼줘.","If the charger is fully charged, turn off the charger.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Charger).charger_chargingstate == \""fullyCharged\"") {\n\n    (#Charger).switch_off()\n\n}""}"
14,3,"버튼이 눌려진 상태면, 블라인드를 올려줘.","If the button is in the pushed state, raise the blind.",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Button).button_button == \""pushed\"") {\n\n    (#Blind).windowcovering_uporopen()\n\n}""}"
